DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/01/2011,-11,-11.1,-9,-5,-3,-4,-5.1,-6,-5.2,-7,-7.1,-9.1,-11.2,-13,-13.1,-10,-9.2,-10.1,-9.3,-7.2,-5.3,-6.1,-5.4,-1
02/01/2011,-1,1.0,3,3,3,3,5.0,3,-2.0,0,1.0,5.0,6.0,7,5.0,4,2.0,-1.0,-2.0,-2.0,-2.0,0.0,-2.0,-4
03/01/2011,-3,-3.0,-3,-2,-1,0,0.0,2,4.0,3,5.0,9.0,5.0,0,1.0,5,5.0,0.0,-8.0,-8.0,-5.0,-2.0,-1.0,1
04/01/2011,1,1.0,5,5,0,-1,-4.0,-8,-8.0,-9,-7.0,-1.0,3.0,-1,0.0,0,-2.0,-4.0,-4.0,-5.0,-4.0,-3.0,-4.0,-6
05/01/2011,-6,-6.0,-3,-1,-1,-2,-3.0,-2,-2.0,0,1.0,3.0,4.0,4,5.0,3,2.0,-1.0,-1.0,2.0,-1.0,-3.0,-4.0,-7
06/01/2011,-5,-1.0,0,0,-2,-3,-6.0,-5,-3.0,-2,1.0,3.0,3.0,2,2.0,5,4.0,6.0,8.0,14.0,24.0,22.0,-3.0,-18
07/01/2011,-40,-39.0,-28,-28,-32,-39,-42.0,-40,-36.0,-32,-24.0,-23.0,-25.0,-23,-19.0,-14,-14.0,-16.0,-18.0,-20.0,-17.0,-19.0,-21.0,-21
08/01/2011,-20,-19.0,-13,-10,-9,-9,-10.0,-16,-19.0,-17,-13.0,-16.0,-15.0,-12,-6.0,-2,-6.0,-10.0,-13.0,-16.0,-12.0,-12.0,-13.0,-13
09/01/2011,-15,-17.0,-14,-12,-9,-8,-8.0,-10,-13.0,-12,-10.0,-9.0,-10.0,-11,-11.0,-10,-11.0,-12.0,-13.0,-13.0,-11.0,-12.0,-12.0,-13
10/01/2011,-15,-12.0,-10,-8,-10,-9,-7.0,-10,-15.0,-14,-13.0,-12.0,-11.0,-7,-4.0,-4,-7.0,-8.0,-10.0,-10.0,-12.0,-14.0,-15.0,-17
11/01/2011,-16,-16.0,-15,-11,-8,-9,-6.0,-3,-4.0,-7,-8.0,-11.0,-16.0,-14,-13.0,-15,-17.0,-20.0,-20.0,-16.0,-11.0,-11.0,-14.0,-13
12/01/2011,-9,-8.0,-1,1,0,-1,-2.0,-2,-4.0,-9,-11.0,-7.0,-2.0,1,5.0,2,0.0,-3.0,-7.0,-6.0,-9.0,-6.0,-11.0,-13
13/01/2011,-14,-12.0,-9,-6,-5,-1,-3.0,-3,-4.0,-2,-4.0,-6.0,-8.0,-8,-8.0,-7,-10.0,-14.0,-13.0,-20.0,-25.0,-23.0,-26.0,-26
14/01/2011,-28,-29.0,-27,-21,-17,-13,-11.0,-10,-16.0,-15,-12.0,-10.0,-7.0,-10,-13.0,-15,-16.0,-14.0,-10.0,-10.0,-13.0,-13.0,-16.0,-17
15/01/2011,-19,-17.0,-13,-11,-15,-14,-11.0,-9,-7.0,-7,-9.0,-10.0,-6.0,-6,-2.0,2,4.0,0.0,-3.0,-6.0,-7.0,-6.0,-9.0,-11
16/01/2011,-13,-10.0,-7,-6,-4,-2,-2.0,-2,-2.0,-2,1.0,4.0,11.0,14,17.0,13,0.0,-5.0,-7.0,-9.0,-7.0,-7.0,-7.0,-10
17/01/2011,-8,-9.0,-6,0,4,-1,-2.0,-5,-6.0,-4,-6.0,-3.0,-1.0,-2,2.0,2,0.0,2.0,-4.0,-4.0,-7.0,-7.0,-9.0,-11
18/01/2011,-12,-11.0,-5,-5,-2,0,-1.0,1,5.0,5,3.0,5.0,7.0,7,11.0,16,14.0,12.0,9.0,7.0,4.0,5.0,4.0,-1
19/01/2011,-1,0.0,2,1,1,2,4.0,3,-3.0,-10,-12.0,-8.0,-5.0,-3,-3.0,-5,-9.0,-14.0,-14.0,-14.0,-13.0,-10.0,-10.0,-13
20/01/2011,-14,-11.0,-11,-12,-10,-6,-6.0,-7,-9.0,-6,-6.0,-4.0,1.0,3,3.0,1,-1.0,-5.0,-9.0,-10.0,-8.0,-3.0,-4.0,-5
21/01/2011,-6,-6.0,-6,-3,-1,0,-1.0,-1,-1.0,0,0.0,-1.0,-3.0,-6,-9.0,-6,-5.0,-4.0,0.0,-2.0,-4.0,-3.0,-4.0,-7
22/01/2011,-8,-6.0,-3,0,2,1,0.0,-2,-3.0,-2,-1.0,1.0,5.0,3,-3.0,0,2.0,1.0,-2.0,-4.0,-5.0,-4.0,-5.0,-5
23/01/2011,-4,-5.0,-7,-4,0,4,3.0,2,2.0,1,0.0,-2.0,-2.0,-5,-4.0,-3,-2.0,-2.0,-1.0,-1.0,0.0,3.0,2.0,0
24/01/2011,0,2.0,3,4,5,6,7.0,5,7.0,10,10.0,10.0,12.0,14,8.0,7,3.0,0.0,-4.0,-6.0,-9.0,-11.0,-12.0,-14
25/01/2011,-12,-7.0,-11,-10,-9,-9,-8.0,-8,-9.0,-5,-8.0,-8.0,-3.0,-4,-5.0,-4,-5.0,-3.0,-4.0,-6.0,-7.0,-4.0,-3.0,-5
26/01/2011,-7,-7.0,-7,-7,-8,-6,-4.0,-2,-1.0,-2,0.0,4.0,6.0,5,3.0,-1,-5.0,2.0,6.0,2.0,0.0,-5.0,-9.0,-9
27/01/2011,-8,-7.0,-6,-7,-5,-2,-1.0,-1,-1.0,-4,-6.0,-6.0,-6.0,-5,-4.0,-4,-6.0,-7.0,-7.0,-5.0,-5.0,1.0,1.0,0
28/01/2011,1,-2.0,-4,-4,-1,0,0.0,2,5.0,7,7.0,6.0,5.0,1,-2.0,-6,-5.0,1.0,2.0,1.0,2.0,4.0,5.0,2
29/01/2011,-2,-3.0,-2,2,2,2,1.0,-1,1.0,5,7.0,11.0,12.0,6,-1.0,-3,-6.0,-6.0,-2.0,0.0,2.0,2.0,2.0,1
30/01/2011,0,2.0,1,0,-2,-6,-6.0,-4,-3.0,-1,1.0,1.0,3.0,4,2.0,0,-1.0,4.0,7.0,8.0,7.0,7.0,4.0,4
31/01/2011,5,6.0,8,9,8,15,17.0,17,16.0,17,19.0,16.0,11.0,6,5.0,4,23.0,35.0,38.0,23.0,16.0,22.0,28.0,17
01/02/2011,11,6.0,2,-2,1,1,-8.0,-12,-3.0,-1,-3.0,-3.0,-3.0,0,-5.0,-10,-16.0,-19.0,-22.0,-20.0,-18.0,-16.0,-17.0,-18
02/02/2011,-21,-20.0,-15,-8,-6,-7,-12.0,-13,-9.0,-5,-1.0,-3.0,-7.0,-9,-12.0,-14,-14.0,-13.0,-14.0,-17.0,-18.0,-18.0,-17.0,-17
03/02/2011,-16,-15.0,-15,-14,-12,-9,-9.0,-11,-14.0,-12,-10.0,-9.0,-8.0,-8,-7.0,-7,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-6.0,-4
04/02/2011,-5,-6.0,-3,1,-5,-5,-2.0,-1,2.0,4,1.0,-4.0,-3.0,-2,5.0,14,16.0,16.0,-3.0,-7.0,-30.0,-63.0,-57.0,-55
05/02/2011,-50,-50.0,-47,-39,-46,-48,-52.0,-50,-54.0,-54,-49.0,-42.0,-37.0,-35,-34.0,-34,-33.0,-31.0,-28.0,-31.0,-31.0,-34.0,-36.0,-36
06/02/2011,-36,-32.0,-30,-32,-32,-30,-34.0,-33,-37.0,-31,-34.0,-32.0,-33.0,-35,-32.0,-33,-34.0,-32.0,-32.0,-33.0,-32.0,-31.0,-32.0,-29
07/02/2011,-28,-25.0,-25,-24,-22,-21,-22.0,-25,-26.0,-26,-27.0,-29.0,-28.0,-27,-24.0,-23,-22.0,-22.0,-21.0,-21.0,-18.0,-16.0,-18.0,-23
08/02/2011,-23,-21.0,-17,-18,-18,-17,-17.0,-16,-16.0,-18,-18.0,-15.0,-12.0,-12,-14.0,-12,-11.0,-9.0,-8.0,-8.0,-8.0,-13.0,-14.0,-14
09/02/2011,-13,-13.0,-14,-14,-11,-10,-10.0,-9,-11.0,-16,-17.0,-14.0,-12.0,-15,-16.0,-16,-16.0,-16.0,-14.0,-12.0,-14.0,-15.0,-16.0,-16
10/02/2011,-16,-11.0,-7,-5,-2,1,1.0,-1,1.0,1,-7.0,-9.0,-11.0,-14,-15.0,-14,-15.0,-15.0,-12.0,-9.0,-7.0,-10.0,-13.0,-15
11/02/2011,-12,-11.0,-12,-13,-13,-11,-11.0,-9,-5.0,-3,-2.0,-2.0,1.0,2,0.0,-5,-7.0,-7.0,-8.0,-7.0,-6.0,-6.0,-9.0,-10
12/02/2011,-11,-13.0,-15,-12,-9,-10,-9.0,-9,-11.0,-9,-9.0,-10.0,-11.0,-10,-11.0,-12,-11.0,-10.0,-7.0,-4.0,-2.0,-3.0,-4.0,-7
13/02/2011,-7,-6.0,-4,-3,-3,-4,-4.0,-3,1.0,2,1.0,2.0,4.0,4,4.0,4,5.0,5.0,5.0,6.0,6.0,5.0,4.0,1
14/02/2011,1,1.0,1,1,0,1,1.0,1,1.0,1,2.0,4.0,6.0,3,1.0,2,18.0,23.0,35.0,33.0,5.0,-12.0,-40.0,-38
15/02/2011,-30,-31.0,-30,-27,-25,-23,-26.0,-28,-27.0,-28,-29.0,-26.0,-24.0,-25,-24.0,-24,-27.0,-30.0,-25.0,-21.0,-23.0,-19.0,-18.0,-22
16/02/2011,-20,-19.0,-18,-18,-20,-18,-16.0,-15,-12.0,-12,-13.0,-16.0,-17.0,-17,-18.0,-18,-16.0,-12.0,-12.0,-10.0,-10.0,-8.0,-9.0,-12
17/02/2011,-13,-12.0,-9,-8,-9,-8,-9.0,-8,-9.0,-10,-9.0,-8.0,-8.0,-7,-5.0,-3,-2.0,-1.0,2.0,4.0,5.0,3.0,0.0,-3
18/02/2011,-4,10.0,33,38,51,16,5.0,20,-2.0,-6,-8.0,-12.0,-20.0,-24,-31.0,-32,-27.0,-20.0,-14.0,-9.0,-15.0,-22.0,-22.0,-23
19/02/2011,-26,-25.0,-22,-20,-22,-22,-23.0,-23,-25.0,-30,-27.0,-25.0,-27.0,-27,-26.0,-24,-24.0,-22.0,-19.0,-17.0,-18.0,-21.0,-21.0,-22
20/02/2011,-21,-19.0,-17,-16,-17,-17,-19.0,-21,-18.0,-19,-25.0,-30.0,-24.0,-19,-17.0,-19,-16.0,-16.0,-14.0,-14.0,-11.0,-14.0,-17.0,-6
21/02/2011,-3,-8.0,-5,-12,-16,-17,-15.0,-12,-11.0,-13,-17.0,-19.0,-21.0,-23,-21.0,-16,-12.0,-12.0,-11.0,-12.0,-18.0,-19.0,-20.0,-14
22/02/2011,-16,-19.0,-17,-12,-9,-8,-7.0,-5,-9.0,-11,-12.0,-14.0,-14.0,-12,-11.0,-8,-7.0,-5.0,-2.0,-2.0,-1.0,-3.0,0.0,-1
23/02/2011,-5,-5.0,-6,-7,-7,-6,-3.0,-1,-2.0,-2,-6.0,-8.0,-11.0,-11,-11.0,-10,-10.0,-8.0,-7.0,-7.0,-10.0,-9.0,-8.0,-6
24/02/2011,-3,2.0,2,5,3,-2,0.0,1,4.0,3,2.0,-1.0,-3.0,-4,-4.0,-5,-6.0,-4.0,-2.0,2.0,4.0,5.0,4.0,5
25/02/2011,4,5.0,3,2,-1,-2,0.0,0,3.0,9,9.0,5.0,3.0,3,4.0,5,2.0,0.0,-1.0,-4.0,-8.0,-10.0,-7.0,-3
26/02/2011,-2,0.0,1,3,5,3,0.0,-2,1.0,2,0.0,-3.0,-6.0,-9,-10.0,-8,-8.0,-9.0,-10.0,-10.0,-7.0,-6.0,-6.0,-4
27/02/2011,-2,0.0,0,0,0,-1,-1.0,1,4.0,3,2.0,-1.0,-1.0,1,1.0,1,-1.0,0.0,-1.0,-2.0,-1.0,0.0,2.0,3
28/02/2011,3,3.0,4,5,4,5,6.0,4,4.0,6,6.0,6.0,9.0,7,10.0,11,13.0,12.0,11.0,9.0,10.0,11.0,15.0,17
01/03/2011,16,17.0,16,17,16,19,13.0,12,16.0,20,3.0,-20.0,-31.0,-55,-88.0,-49,-45.0,-57.0,-58.0,-59.0,-64.0,-58.0,-56.0,-54
02/03/2011,-57,-45.0,-37,-36,-40,-43,-43.0,-40,-36.0,-33,-30.0,-30.0,-27.0,-25,-23.0,-26,-29.0,-33.0,-35.0,-35.0,-34.0,-36.0,-34.0,-32
03/03/2011,-28,-23.0,-17,-19,-15,-17,-19.0,-19,-25.0,-18,-17.0,-16.0,-18.0,-20,-21.0,-18,-15.0,-21.0,-18.0,-29.0,-29.0,-24.0,-20.0,-19
04/03/2011,-16,-14.0,-14,-14,-15,-17,-20.0,-21,-19.0,-14,-19.0,-25.0,-26.0,-19,-17.0,-18,-21.0,-20.0,-27.0,-26.0,-27.0,-25.0,-25.0,-22
05/03/2011,-21,-23.0,-23,-21,-22,-22,-19.0,-16,-17.0,-18,-17.0,-17.0,-17.0,-15,-11.0,-9,-8.0,-13.0,-12.0,-10.0,-10.0,-9.0,-8.0,-7
06/03/2011,-5,-5.0,-4,0,2,0,-1.0,-1,-4.0,-4,-5.0,-5.0,-7.0,-6,-7.0,-10,-5.0,-2.0,-3.0,-3.0,-1.0,-2.0,-9.0,-9
07/03/2011,-7,-1.0,-2,-5,-7,-6,-4.0,-5,-2.0,-4,-6.0,-10.0,-8.0,-11,-11.0,-9,-11.0,-14.0,-17.0,-20.0,-24.0,-20.0,-22.0,-27
08/03/2011,-24,-21.0,-23,-22,-21,-21,-20.0,-21,-22.0,-20,-20.0,-19.0,-20.0,-20,-22.0,-20,-17.0,-16.0,-15.0,-14.0,-14.0,-13.0,-14.0,-13
09/03/2011,-14,-16.0,-17,-17,-15,-12,-12.0,-11,-10.0,-6,-8.0,-5.0,-7.0,-9,-9.0,-10,-8.0,-8.0,-9.0,-8.0,-5.0,-4.0,-3.0,-3
10/03/2011,-11,-11.0,-13,-15,-17,-20,-19.0,-25,-36.0,-36,-38.0,-35.0,-39.0,-42,-37.0,-33,-36.0,-38.0,-37.0,-41.0,-55.0,-62.0,-55.0,-50
11/03/2011,-50,-59.0,-63,-69,-77,-83,-80.0,-78,-74.0,-72,-67.0,-62.0,-58.0,-52,-48.0,-42,-44.0,-50.0,-53.0,-47.0,-52.0,-64.0,-59.0,-60
12/03/2011,-58,-53.0,-47,-43,-43,-45,-45.0,-44,-45.0,-40,-37.0,-37.0,-40.0,-35,-30.0,-26,-22.0,-21.0,-21.0,-25.0,-28.0,-32.0,-27.0,-20
13/03/2011,-21,-23.0,-24,-22,-20,-18,-18.0,-15,-14.0,-13,-12.0,-14.0,-12.0,-12,-12.0,-9,-6.0,-12.0,-14.0,-22.0,-24.0,-19.0,-18.0,-17
14/03/2011,-16,-16.0,-15,-14,-14,-16,-17.0,-15,-12.0,-14,-17.0,-17.0,-15.0,-13,-10.0,-8,-7.0,-7.0,-7.0,-7.0,-9.0,-9.0,-9.0,-10
15/03/2011,-10,-10.0,-10,-9,-8,-8,-9.0,-10,-10.0,-9,-8.0,-7.0,-6.0,-5,-5.0,-5,-5.0,-5.0,-4.0,-4.0,-3.0,-2.0,0.0,1
16/03/2011,2,1.0,1,1,0,0,-2.0,-1,-2.0,-1,0.0,2.0,2.0,0,-1.0,-1,0.0,-1.0,0.0,-1.0,-2.0,0.0,2.0,5
