DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2004-01-01,-23,-25.0,-34,-33,-31,-28,-25.0,-31,-30.0,-26,-24.0,-16.0,-12.0,-22,-26.0,-27,-26.0,-32.0,-30.0,-20.0,-18.0,-19.0,-21.0,-16
2004-01-02,-12,-16.0,-18,-19,-13,-12,-12.0,-13,-15.0,-15,-14.0,-8.0,-7.0,-7,-10.0,-10,-9.0,-7.0,-6.0,-4.0,-9.0,-1.0,-2.0,-1
2004-01-03,1,-1.0,0,3,-9,-12,-8.0,-13,-18.0,-15,-24.0,-18.0,-12.0,-14,-19.0,-18,-16.0,-14.0,-9.0,-10.0,-9.0,-9.0,-12.0,-14
2004-01-04,-13,-20.0,-23,-20,-18,-19,-22.0,-22,-25.0,-21,-24.0,-17.0,-13.0,-25,-12.0,-25,-29.0,-27.0,-23.0,-20.0,-15.0,-19.0,-22.0,-24
2004-01-05,-21,-18.0,-18,-20,-20,-19,-15.0,-18,-22.0,-17,-10.0,-10.0,-10.0,-11,-6.0,-5,-11.0,-18.0,-20.0,-11.0,-11.0,-11.0,-16.0,-17
2004-01-06,-21,-20.0,-23,-22,-20,-31,-30.0,-27,-29.0,-29,-21.0,-16.0,-13.0,-15,-15.0,-17,-17.0,-14.0,-17.0,-15.0,2.0,-5.0,-16.0,-34
2004-01-07,-30,-23.0,-27,-31,-33,-40,-46.0,-34,-36.0,-46,-45.0,-45.0,-36.0,-50,-45.0,-38,-38.0,-40.0,-35.0,-36.0,-29.0,-27.0,-22.0,-18
2004-01-08,-18,-21.0,-19,-17,-14,-16,-19.0,-21,-23.0,-21,-17.0,-18.0,-15.0,-14,-14.0,-15,-18.0,-18.0,-16.0,-15.0,-11.0,-5.0,-6.0,-7
2004-01-09,-7,-12.0,-15,-12,-12,-11,-15.0,-18,-18.0,-28,-27.0,-28.0,-25.0,-23,-21.0,-18,-19.0,-19.0,-28.0,-22.0,-16.0,-9.0,-3.0,3
2004-01-10,-3,-6.0,-8,-8,-8,-1,1.0,-22,-41.0,-40,-25.0,-22.0,-19.0,-21,-28.0,-43,-45.0,-45.0,-42.0,-32.0,-30.0,-31.0,-29.0,-26
2004-01-11,-19,-19.0,-15,-14,-14,-8,-8.0,-13,-18.0,-14,-17.0,-22.0,-20.0,-23,-28.0,-31,-29.0,-33.0,-31.0,-24.0,-24.0,-22.0,-20.0,-21
2004-01-12,-19,-20.0,-16,-12,-14,-11,-8.0,-10,-12.0,-13,-13.0,-13.0,-15.0,-10,-13.0,-20,-28.0,-23.0,-21.0,-20.0,-21.0,-23.0,-22.0,-28
2004-01-13,-25,-24.0,-24,-24,-21,-21,-23.0,-20,-17.0,-16,-8.0,-7.0,1.0,10,-1.0,-10,-1.0,-8.0,-10.0,-10.0,-18.0,-23.0,-13.0,-7
2004-01-14,-5,-14.0,-20,-20,-19,-15,-10.0,-9,-7.0,-6,-14.0,-17.0,-19.0,-20,-15.0,-15,-18.0,-21.0,-24.0,-19.0,-16.0,-13.0,-15.0,-14
2004-01-15,-12,-12.0,-13,-14,-13,-8,-2.0,0,0.0,1,2.0,2.0,-2.0,-9,-17.0,-39,-50.0,-44.0,-41.0,-34.0,-41.0,-48.0,-44.0,-36
2004-01-16,-29,-22.0,-23,-24,-24,-27,-23.0,-19,-23.0,-22,-20.0,-24.0,-32.0,-23,-24.0,-26,-27.0,-37.0,-30.0,-32.0,-34.0,-28.0,-29.0,-29
2004-01-17,-29,-26.0,-24,-25,-25,-23,-25.0,-25,-27.0,-32,-21.0,-17.0,-8.0,-10,-20.0,-21,-20.0,-22.0,-29.0,-23.0,-18.0,-19.0,-20.0,-13
2004-01-18,-10,-11.0,-13,-17,-24,-25,-22.0,-21,-22.0,-19,-16.0,-13.0,-19.0,-23,-24.0,-19,-22.0,-21.0,-18.0,-12.0,-22.0,-22.0,-19.0,-15
2004-01-19,-11,-11.0,-14,-15,-12,-16,-16.0,-13,-11.0,-12,-4.0,-2.0,-3.0,-8,-16.0,-22,-25.0,-28.0,-35.0,-34.0,-28.0,-22.0,-19.0,-21
2004-01-20,-18,-17.0,-19,-24,-29,-31,-28.0,-23,-21.0,-17,-14.0,-16.0,-18.0,-25,-33.0,-37,-38.0,-36.0,-35.0,-37.0,-33.0,-28.0,-22.0,-18
2004-01-21,-17,-18.0,-19,-19,-20,-21,-23.0,-27,-22.0,-12,-9.0,-12.0,-18.0,-14,-17.0,-21,-25.0,-25.0,-23.0,-23.0,-22.0,-24.0,-21.0,-20
2004-01-22,-15,1.0,26,26,18,2,-9.0,-24,-24.0,-21,-16.0,-40.0,-93.0,-130,-109.0,-99,-106.0,-106.0,-102.0,-79.0,-71.0,-80.0,-74.0,-77
2004-01-23,-78,-73.0,-70,-72,-73,-70,-70.0,-67,-72.0,-66,-60.0,-47.0,-45.0,-47,-55.0,-58,-78.0,-78.0,-77.0,-75.0,-71.0,-72.0,-73.0,-60
2004-01-24,-52,-42.0,-42,-31,-24,-23,-35.0,-38,-41.0,-43,-42.0,-48.0,-38.0,-35,-38.0,-33,-29.0,-34.0,-40.0,-38.0,-39.0,-43.0,-41.0,-43
2004-01-25,-49,-56.0,-68,-81,-80,-70,-76.0,-79,-76.0,-77,-62.0,-55.0,-56.0,-56,-53.0,-55,-61.0,-70.0,-68.0,-64.0,-64.0,-60.0,-61.0,-59
2004-01-26,-56,-54.0,-46,-41,-39,-36,-38.0,-44,-40.0,-33,-32.0,-35.0,-32.0,-32,-31.0,-29,-31.0,-33.0,-35.0,-29.0,-37.0,-41.0,-35.0,-37
2004-01-27,-55,-62.0,-61,-55,-48,-43,-44.0,-41,-44.0,-40,-30.0,-23.0,-14.0,-12,-10.0,-7,-10.0,-15.0,-20.0,-13.0,-7.0,-3.0,-7.0,-11
2004-01-28,-13,-19.0,-24,-15,-14,-24,-32.0,-25,-20.0,-23,-16.0,-7.0,-5.0,-8,-11.0,-15,-18.0,-28.0,-26.0,-26.0,-16.0,-17.0,-16.0,-17
2004-01-29,-19,-19.0,-17,-17,-16,-18,-17.0,-13,-10.0,-7,-11.0,-19.0,-21.0,-18,-13.0,-9,-8.0,-8.0,-9.0,-8.0,-11.0,-15.0,-15.0,-11
2004-01-30,-7,-3.0,-5,-3,-1,0,4.0,5,4.0,1,-8.0,-9.0,-10.0,-18,-21.0,-24,-29.0,-27.0,-23.0,-16.0,-18.0,-16.0,-12.0,-12
2004-01-31,-8,-9.0,-10,-9,-9,-9,-11.0,-11,-14.0,-15,-13.0,-5.0,-7.0,-6,-8.0,-11,-12.0,-10.0,-13.0,-13.0,-16.0,-14.0,-11.0,-11
2004-02-01,-10,-10.0,-8,-11,-15,-16,-12.0,13,-14.0,12,-7.0,-2.0,-5.0,-9,-11.0,15,-13.0,-11.0,-11.0,-10.0,-13.0,-17.0,12.0,-7
2004-02-02,-8,-5.0,-6,-3,-3,-1,-8.0,-20,-21.0,-18,-10.0,-10.0,-4.0,-14,-16.0,-15,-14.0,-15.0,-18.0,-13.0,-10.0,-13.0,-11.0,-6
2004-02-03,-3,-2.0,-7,-13,-24,-25,-31.0,-33,-34.0,-27,-22.0,-20.0,-14.0,-16,-12.0,-15,-19.0,-16.0,-18.0,-18.0,-16.0,-15.0,-11.0,-6
2004-02-04,-5,-11.0,-9,-8,-9,-10,-12.0,-18,-21.0,-16,-12.0,-6.0,-10.0,-17,-22.0,-22,-23.0,-23.0,-23.0,-21.0,-20.0,-18.0,-15.0,-12
2004-02-05,-11,-12.0,-14,-16,-9,-4,-11.0,-14,-14.0,-15,-18.0,-10.0,-4.0,-7,-7.0,-6,-5.0,-8.0,-8.0,-5.0,-4.0,-2.0,-6.0,-4
2004-02-06,1,3.0,1,0,-3,-12,-21.0,-23,-14.0,-11,-18.0,-24.0,-22.0,-14,-11.0,-11,-20.0,-22.0,-28.0,-22.0,-17.0,-15.0,-10.0,-5
