Date,Time,SML,SMU
2004-01-01,0.0,-110.4,70.3
2004-01-01,0.5,-103.0,81.3
2004-01-01,1.0,-128.2,100.5
2004-01-01,1.5,-273.5,97.9
2004-01-01,2.0,-285.9,98.7
2004-01-01,2.5,-339.4,87.8
2004-01-01,3.0,-196.1,62.4
2004-01-01,3.5,-166.6,101.3
2004-01-01,4.0,-156.5,79.0
2004-01-01,4.5,-198.8,106.1
2004-01-01,5.0,-332.3,182.4
2004-01-01,5.5,-470.3,187.6
2004-01-01,6.0,-471.8,177.6
2004-01-01,6.5,-282.7,156.2
2004-01-01,7.0,-197.7,177.5
2004-01-01,7.5,-174.1,112.3
2004-01-01,8.0,-303.1,108.1
2004-01-01,8.5,-890.7,218.8
2004-01-01,9.0,-551.0,81.7
2004-01-01,9.5,-242.2,112.4
2004-01-01,10.0,-241.9,124.6
2004-01-01,10.5,-231.1,170.7
2004-01-01,11.0,-328.8,158.9
2004-01-01,11.5,-522.5,118.7
2004-01-01,12.0,-346.4,83.2
2004-01-01,12.5,-788.6,124.8
2004-01-01,13.0,-958.0,153.6
2004-01-01,13.5,-414.1,59.3
2004-01-01,14.0,-79.6,150.8
2004-01-01,14.5,-161.5,131.1
2004-01-01,15.0,-100.0,102.1
2004-01-01,15.5,-41.5,115.2
2004-01-01,16.0,-75.2,85.0
2004-01-01,16.5,-93.0,107.0
2004-01-01,17.0,-194.1,87.0
2004-01-01,17.5,-423.3,125.5
2004-01-01,18.0,-497.3,117.6
2004-01-01,18.5,-338.8,97.8
2004-01-01,19.0,-259.3,78.1
2004-01-01,19.5,-146.5,72.9
2004-01-01,20.0,-120.6,61.5
2004-01-01,20.5,-317.2,89.2
2004-01-01,21.0,-619.4,61.9
2004-01-01,21.5,-475.6,44.9
2004-01-01,22.0,-245.9,91.6
2004-01-01,22.5,-113.6,80.6
2004-01-01,23.0,-82.4,57.1
2004-01-01,23.5,-78.1,61.0
2004-01-02,0.0,-70.9,106.8
2004-01-02,0.5,-190.3,83.5
2004-01-02,1.0,-178.4,44.6
2004-01-02,1.5,-243.3,74.8
2004-01-02,2.0,-493.5,81.9
2004-01-02,2.5,-412.0,99.3
2004-01-02,3.0,-136.0,58.2
2004-01-02,3.5,-83.7,56.5
2004-01-02,4.0,-68.1,56.4
2004-01-02,4.5,-72.4,74.7
2004-01-02,5.0,-68.9,44.5
2004-01-02,5.5,-77.0,36.1
2004-01-02,6.0,-76.5,30.6
2004-01-02,6.5,-73.4,45.9
2004-01-02,7.0,-66.2,51.2
2004-01-02,7.5,-67.1,65.2
2004-01-02,8.0,-78.6,57.9
2004-01-02,8.5,-254.1,101.5
2004-01-02,9.0,-192.8,95.2
2004-01-02,9.5,-199.2,72.9
2004-01-02,10.0,-185.8,68.6
2004-01-02,10.5,-88.8,73.3
2004-01-02,11.0,-99.7,83.7
2004-01-02,11.5,-104.8,81.4
2004-01-02,12.0,-119.3,52.5
2004-01-02,12.5,-187.0,62.1
2004-01-02,13.0,-328.7,59.8
2004-01-02,13.5,-556.1,57.2
2004-01-02,14.0,-560.7,61.6
2004-01-02,14.5,-429.0,100.6
2004-01-02,15.0,-261.3,54.9
2004-01-02,15.5,-106.7,53.3
2004-01-02,16.0,-84.1,63.8
2004-01-02,16.5,-79.6,75.2
